"ID","Title","Published At","Duration","ViewCount","LikeCount"
"qdBavW0x62k","The Psychology of Male Loneliness","2025-02-12T14:00:57Z","PT4M21S",118101,7826
"6odiH6-8ZqE","How Africa Invented Psychotherapy","2025-02-05T14:00:06Z","PT4M19S",53959,2605
"tF5FaCKMels","Epsiode 3 - Does Love Have to Come to an End?  #theschooloflife #podcast #sneakpeek","2025-02-03T18:00:44Z","PT1M",9094,518
"eh7d2qCGdss","Episode 1 - What Makes a Good Friend? #podcast #sneakpeak  #theschooloflife","2025-02-03T18:00:34Z","PT59S",6764,399
"Wfr18cxjc0k","Episode 2 - Can People Change? #podcast #sneakpeak  #theschooloflife","2025-02-03T18:00:23Z","PT53S",5627,340
"M0swUcJAtzs","The 9 Most Common Mistakes We Make when Choosing a Partner","2025-01-29T14:00:33Z","PT6M50S",137241,6023
"GzWJlHIxfAg","Why You Shouldn't Second Guess Your Decisions","2025-01-22T14:00:26Z","PT3M34S",209743,9951
"ygxnhxlaWtA","How Successful People Take Risks","2025-01-15T14:01:10Z","PT5M10S",159707,7205
"yT9LTpNNQyk","Why We Can't Stop Loving Those Who Hurt Us","2025-01-08T14:00:57Z","PT5M47S",168008,11107
"JyzJrkF21MM","What to do When Willpower Fails","2025-01-01T14:00:28Z","PT3M33S",444892,28174
"hEgtFSNRd54","The Pleasures of Talking Nonsense with Someone We Love","2024-12-25T14:00:42Z","PT3M11S",651271,57436
"spXZ0RS38-4","Automatic writing #theschooloflife #animation #writing","2024-12-21T14:00:49Z","PT58S",21373,1796
"m6vesqQmHXk","Why We Sabotage Our Own Happiness","2024-12-18T14:00:52Z","PT3M11S",171978,8345
"9d4Q7uahQ_s","How to deal with depression #theschooloflife #animation #depression","2024-12-14T14:00:09Z","PT1M",35201,3525
"Fv-a8Q1jJE8","Living Long-Term with Mental Illness","2024-12-11T14:00:22Z","PT4M4S",91990,6115
"6Sy2T_IX78o","What is emotional intelligence  #animation #theschooloflife #emotionalintelligence","2024-12-07T14:00:05Z","PT1M",35040,3275
"54zAsOOo8xU","The Appeal of Rescuing Other People","2024-12-04T14:00:09Z","PT3M33S",219745,11078
"uKfyOe9rfy0","The Empty Chair Technique #theschooloflife #animation #psychology","2024-11-30T14:01:00Z","PT58S",192571,24416
"znkBUxSMQ7s","A Dark Way to Predict what might happen in your relationship","2024-11-27T14:00:57Z","PT3M42S",618754,30498
"lNRakq29vaw","How to Cope with Depression #animation #theschooloflife #mentalhealth","2024-11-23T14:00:50Z","PT1M",60860,6510
"3-ahNeWAGvE","How to Make a Decision","2024-11-20T14:00:03Z","PT3M38S",134743,6420
"3HKydS0taaU","People Pleasers in Relationships #animation #theschooloflife #relationship","2024-11-16T14:00:04Z","PT1M",47730,4936
"nNRomzPyof0","How to 'Grow'  - The Hard Truth About Growth","2024-11-13T14:00:51Z","PT4M15S",206605,10185
"m46ue-K5e0k","Is It Okay to Keep Secrets from Your Partner? #lifeschooling #animation #relationship","2024-11-09T14:00:41Z","PT59S",42193,3117
"DeE8MIfl69M","Overcoming Negative Thought Patterns to Find Joy","2024-11-06T14:00:13Z","PT4M3S",251063,12545
"iGIL1v8OPcQ","How to Process Your Emotions #animation #theschooloflife #bodymindself","2024-11-02T14:00:45Z","PT58S",139124,17997
"c7X_Ki2OoC4","People Pleasers in Relationships","2024-10-30T14:00:39Z","PT4M5S",132301,6523
"lRDwAafSFgI","Why It Can Take Us So Long to Understand How Unwell We Are","2024-10-23T13:00:55Z","PT3M25S",223492,9724
"E1pAjzbArPY","Reparenting our Inner child  #animation #theschooloflife #parenting","2024-10-19T13:00:25Z","PT54S",79151,10004
"AR41dIgnrdU","The Avoidant Partner with the Power to Drive You Mad","2024-10-16T13:00:16Z","PT7M18S",272547,11376
"bizR-iCvPf4","Overcoming Sexual Shame #animation #theschooloflife #shame","2024-10-12T13:00:49Z","PT56S",38249,2519
"gC5hAAvhClE","What Self-Esteem Is","2024-10-09T13:00:50Z","PT3M42S",280782,13697
"jDQBOnnEN-U","Do This When Your Battery Is Running Low #animation  #theschooloflife #moodmanagement","2024-10-06T13:00:53Z","PT56S",101916,10416
"CX36tONlEFM","The Impact of Anger on Young Children","2024-10-02T13:00:13Z","PT2M54S",586139,20291
"KuBROBMI0yQ","Things You Have to Forget in Order to Live #theschooloflife #life #animation","2024-09-28T13:00:28Z","PT1M",96127,8554
"GGXx51rb5mI","People not to fall in love with: a checklist","2024-09-25T13:00:24Z","PT3M44S",449183,21793
"l8HwJ5PECD8","Who Initiates Sex and Why it Matters #animation  #theschooloflife  #relationship","2024-09-21T13:00:53Z","PT1M",68386,4053
"xqqwA_hHDws","Getting Better at Picking Lovers","2024-09-18T13:01:04Z","PT3M44S",194829,10722
"QS5-Z-oP-Hw","Empty Chair Therapy: Heal Your Past, Improve Your Future","2024-09-11T13:00:26Z","PT4M2S",264738,11936
"B4VTMwsI4KU","What Our Body Wants us to Understand #shorts  #mind #body","2024-09-07T13:00:18Z","PT1M",199382,20620
